1	香烟可以带几条
0	西部客运站到机场打的大概多少钱？
1	g
0	昆明机场附近有药店吗？
1	怎么取消值机
1	川航没问题吧
0	你好，麻烦问一下东航在那个地方换登机牌
0	机场有可以拍落地签的地方吗?
1	请问我想投诉找谁
1	您好，我的身份认证一直做不了
0	你们机场有那种可以缠绕打包的业务吗？
1	带动物
1	长沙黄花机场怎么打身份证明？
1	延误险理赔
1	请问新鲜肉可以带上飞机吗？
1	已结束的旅程
0	我从昆明机场下机后怎样才能去免税店购物啊？
1	石家庄到沈阳
1	app里能打吗？
1	我想查一下我家人有没有登机，是今天丽江到昆明的航班
0	机场里面有换外币的地方吗？
0	"距离昆明长水机场最近的医院,大概距离是多少？"
0	昆明机场是不是有个书吧？
1	同行的人都可以选择座位
1	东方航空公司有摆渡车从浦东机场到虹桥机场吗
1	我带着5岁的小朋友 是否可以在线值机？
1	我看了15号那天昆明会下雨，这样会不会影响我的飞机起飞啊
0	可以帮忙广播找人吗？
0	机场那个国际航班出来的地方有没有卖移动或者联通的手机卡的
1	怎样更换选座信息？
1	我那个身份证丢了那个我要怎么走呀
1	长笛可以带吗？
0	长水机场可以拍落地签吗？
0	能给我下国航电话吗
0	麻烦咨询一下，昆明候机楼里面有没有网吧？
1	南京禄口T2.有托运行李的乘客是否可以使用电子登机牌？
1	东航的货在哪里拿
1	请问飞机上让带液体嘛
1	行李箱可以带上飞机吗
1	准备到上海旅游，两个机场的区别是什么呢
1	值机有问题
0	昆明长水机场T2接国际到达的停车位置
1	未完成
0	请问昆明机场物流的电话是多少？
1	机场的贵宾休息室和普通的休息室有什么区别？
1	水果
1	你好，我身份证不知道被我丢哪里了，我有身份证复印件，可以乘机吗
1	零点到机场还有机场大巴吗？
1	电动牙刷可以直接带上飞机吗
0	我的父母要去印度旅游，可以在机场购买国际wifi吗?
0	昆明机场里可以吃回族餐吗？
0	麻烦帮查一下昆明航空的电话
0	昆明长水机场可以兑换货币吗
1	个人乘车证明
1	今天天气下大雨，是不是我的航班会延误？
1	QQ群申请添加了，没有回复？
1	这个app能购票吗
1	请问托运的货到哪里提货？
0	哪里有卖特产的
1	我把东西落在机场大巴上了怎么找回来？
1	怎么没有显示常用联系人
1	民乐到深圳宝安国际机场怎么走
1	"成都机场T二登机,可贵宾休息室安排在T1。登机远吗"
1	咸阳机场怎么上wifi
0	请问乘机行李太多，到了机场有没有手推车？
1	我要带4瓶发腊可以带上飞机吗？
1	国际到达的流程提供一下？
1	携带的儿童非亲属可以么
1	我想带谷物饮料可以吗？
1	什么是机场BGS
1	为什么儿童的直机取消了，大人的取消不了
0	东方航空公司老人机场轮椅服务流程
1	我住在关上，要到长水机场，请问坐哪条大巴比较方便？
1	加了QQ 没通过
1	你好，请问在网上可以购买机场大巴的车票吗？
1	怎么查看
1	乘坐国内航班可以去免税店买东西吗？
1	我的航班为什么取消了
1	不能值机
1	可不可以在这上面买机票？在那一栏目下呢？
0	昆明长水机场消防急救中心可以打狂犬疫苗吗
1	用结婚证可以办理临时登记证吗?
0	请问出发层的充电柱位置在哪里？
1	如何订购海航圣何塞至北京国际机票及轮椅服务
1	在昆明机场的国际出发这边有个出国宝需要怎么操作？
1	为什么有的不支持里程累计
1	随身携带行李
1	你好，机场睡眠舱是不是需要提前预定
0	我想知道一下行李托运方面有什么要求吗？
1	证件格式
1	我昨天在飞机场都了一个东西，你能不能帮我问一下你们服务总台有没有收到
1	乘飞机对洗漱用品有什么要求
0	请问机场的银行是在出发这边还是在到达这边？
1	你是智能还是傻子
1	可否预订票
0	可以在机场申请轮椅吗？
1	在咸阳机场丢了东西咋办
0	我跟朋友走散了，但是手机没电了，可以帮忙广播找一下我朋友吗？
1	昆明长水国际机场到昆明金马正昌水果批发市场怎么坐车
0	昆明长水机场警务室在哪？
1	我想问一下现在在网上订票还能订吗
1	虹桥机场支持电子登机牌的安检口
1	请问办理临时身份证的地方在哪里？
1	外地车辆去首都机场用办进京证吗？
0	你好，我想问一下四川航空的柜台电话？
1	我有事要咨询一下，我10岁的小孩乘机没有身份证和户口本怎么乘机
0	请问知道行李寄存的电话吗？
1	飞机场可以带中药没
1	价格
1	如何添加护照信息
1	买行李额
1	国际航班没有显示行程吗？
1	我已经值机了
0	麻烦你告诉我一下安检部门的电话
1	托运行李一个行李箱加一床棉被是不是免费
0	想问一下机场有行李寄存处吗？
1	我要接一个团，请问大巴可以直接开到停车场吗？
0	你们机场有出国宝这个东西吗？
1	到达州的航班都有哪几个航空公司在飞？
1	怎么差别人帮我购买飞机票
1	昆明机场的国内航班是从哪个航站楼出发？
0	你们机场寄存行李有时间要求吗？
0	你好！我刚刚到机场哪里有银行可以取钱？
1	坐飞机可以玩手机和电脑吗？
1	你好，飞机上可以带两个小的节能灯泡吗？
1	进入飞行模式
